peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
53.25,1.72,M,51,50,8,0,1,0,0,N,2,4,3
116.78,1.76,V,51,0,0,3,0,7,0,N,1,2,3
100.19,1.65,M,39,0,1,5,5,1,0,N,1,1,1
53.25,1.72,V,53,20,0,1,14,4,NA,N,0,2,2
103.39,1.77,M,21,0,5,1,25,10,0,N,1,2,2
93.64,1.7,V,32,0,0,0,0,3,2,N,1,3,3
126.42,1.78,V,42,0,1,8,0,2,3,N,0,1,1
113,1.7,V,52,0,0,4,15,10,0,N,0,2,0
103.82,1.75,V,37,0,2,2,0,2,0,N,0,1,2
52.02,1.7,V,37,20,0,0,7,2,0,N,1,3,2
95.55,1.75,V,46,0,0,0,0,2,3,N,3,4,4
47.82,1.63,M,39,30,0,0,0,0,0,N,2,3,4
109.39,1.69,M,23,0,0,5,4,9,0,N,2,1,1
121.1,1.74,V,57,0,5,6,21,20,0,N,2,3,2
90.88,1.68,V,37,0,0,1,0,4,0,N,0,2,2
82.69,1.6,M,36,0,0,1,0,4,0,N,0,2,2
103.48,1.83,V,48,0,0,0,11,3,0,N,2,3,4
96.74,1.72,M,18,0,8,5,7,0,0,N,3,2,3
98.51,1.72,V,30,0,2,3,6,4,0,N,2,3,4
49,1.65,M,71,200,0,0,26,22,0,N,0,1,4
97.61,1.67,V,48,0,8,0,13,12,0,S,2,3,3
92.5,1.55,M,32,0,1,7,19,5,0,N,0,2,0
55.12,1.75,V,28,50,0,3,0,6,0,N,1,0,0
102.23,1.66,M,30,0,22,0,19,16,0,N,0,1,1
87.29,1.67,M,56,0,2,0,0,1,3,N,4,4,4
123.9,1.76,V,58,0,5,4,14,15,0,N,1,2,2
101.76,1.73,M,29,0,4,2,1,1,0,N,2,1,2
105.82,1.66,M,51,0,1,4,0,2,5,N,1,2,0
57.67,1.79,V,34,50,1,0,4,0,1,N,3,3,4
92.59,1.66,M,24,0,0,1,11,7,0,N,1,1,0
82.43,1.6,M,29,0,13,1,8,2,0,N,1,2,1
67.94,1.73,V,54,20,0,0,7,8,0,N,1,2,2
66.69,1.66,M,39,10,0,1,4,3,0,N,2,4,4
94.16,1.74,V,20,0,1,1,5,2,0,N,2,3,2
58.32,1.8,V,40,90,7,5,0,0,0,N,1,4,4
106.85,1.73,V,35,0,0,0,11,14,0,N,1,3,2
83.13,1.55,M,55,0,0,0,0,5,3,N,0,0,0
46.66,1.61,M,23,30,0,3,7,15,0,N,3,4,3
108.09,1.77,V,32,0,0,5,0,0,0,N,1,3,3
49,1.65,M,24,30,0,2,1,7,0,N,1,3,4
74.83,1.59,M,33,0,0,1,16,1,1,N,1,2,1
88.13,1.61,M,43,0,0,0,9,5,0,N,0,0,0
115.01,1.78,V,63,0,13,1,0,0,0,N,2,3,4
89.05,1.72,V,37,0,0,0,8,3,0,N,2,3,2
97.1,1.7,V,68,0,0,1,0,0,0,N,0,4,3
55.76,1.76,M,51,100,0,0,0,0,0,N,3,4,4
91.41,1.72,V,21,0,0,0,5,5,0,N,2,3,2
46.66,1.61,M,30,100,0,0,20,8,0,N,1,1,0
110.86,1.75,V,53,0,10,0,0,0,0,N,1,1,1
99.42,1.7,V,52,0,0,0,6,7,0,N,1,2,2
98.25,1.71,V,28,0,0,1,10,10,0,N,2,3,2
95.94,1.67,M,75,10,9,1,12,11,0,N,1,1,1
97.39,1.7,M,36,0,1,1,3,7,0,N,1,3,2
94.98,1.6,M,31,0,0,0,22,15,0,N,0,0,0
93.38,1.73,V,58,0,1,1,2,0,0,N,4,4,4
89.31,1.74,V,38,0,0,0,16,1,5,N,1,3,2
50.2,1.67,M,27,30,0,1,20,5,0,N,2,3,2
108.38,1.68,M,57,0,0,4,25,13,0,N,0,2,3
93.99,1.67,M,49,0,0,0,24,10,0,N,1,0,0
119.72,1.73,V,49,0,7,0,0,17,0,N,2,4,3
110.69,1.7,V,58,0,2,1,11,16,0,N,2,4,4
47.82,1.63,M,43,100,0,1,25,13,0,N,0,1,0
108.38,1.68,M,36,0,0,0,18,17,0,N,0,2,3
99.31,1.74,V,39,0,0,0,13,6,0,N,1,0,1
50.2,1.67,M,25,30,16,4,0,0,4,N,2,4,4
92.34,1.74,V,38,0,0,0,0,0,0,N,3,2,2
109.94,1.75,V,61,0,4,0,21,12,0,N,3,4,3
80.74,1.66,M,18,0,8,0,27,5,0,N,0,1,0
52.63,1.71,M,37,110,15,2,0,6,0,N,0,0,0
99.31,1.74,V,46,0,3,1,0,0,0,N,0,1,1
58.97,1.81,V,22,20,5,3,4,0,0,N,0,3,2
49.6,1.66,V,35,40,10,2,6,0,0,N,3,4,4
72.27,1.63,V,33,10,0,4,0,0,0,N,2,3,4
125.92,1.83,V,51,0,0,3,4,2,0,N,1,1,1
93.55,1.74,V,18,0,0,0,16,9,1,N,1,3,2
99.99,1.62,M,51,0,0,0,24,20,0,S,1,3,4
84.68,1.7,M,29,0,0,0,27,6,0,N,0,0,1
74.24,1.55,M,32,0,0,0,0,0,0,N,1,2,1
52.02,1.7,M,18,20,15,3,9,0,4,N,2,4,4
105.83,1.83,V,39,0,2,0,0,0,1,N,0,0,2
94.74,1.62,M,60,0,7,1,12,4,2,N,1,0,0
80.85,1.57,M,49,0,8,0,9,5,0,N,3,3,4
100.67,1.76,V,59,0,7,0,0,0,1,N,0,2,1
81.09,1.62,M,31,0,4,2,16,4,0,N,2,3,3
126.74,1.78,M,76,0,2,7,13,0,0,N,1,1,1
122.5,1.75,V,44,0,0,3,10,15,0,N,1,1,0
120.81,1.85,V,52,0,9,0,0,4,1,N,1,1,2
53.87,1.73,V,35,80,7,6,0,0,0,N,0,0,0
110.58,1.78,V,32,0,0,3,17,10,0,N,1,4,3
81.92,1.6,M,30,0,0,0,15,9,0,N,3,4,4
94.22,1.62,M,51,0,0,3,18,6,0,N,0,2,2
109.02,1.77,V,49,0,8,3,10,3,0,N,2,2,2
121.57,1.82,V,48,0,4,2,3,0,0,N,1,2,1
85.96,1.59,M,24,0,0,0,30,12,0,N,1,0,0
113.1,1.77,V,30,0,0,5,23,10,0,N,0,0,1
45.51,1.59,M,38,20,3,0,0,0,0,N,3,4,4
108.37,1.7,M,54,0,11,4,0,0,0,N,0,0,0
118.34,1.72,V,60,0,0,9,0,6,0,N,0,0,0
89.54,1.63,M,54,0,4,0,14,8,0,N,1,2,1
43.8,1.56,M,24,50,3,2,0,2,0,N,2,4,2
105.7,1.64,M,52,0,0,9,0,0,0,N,0,2,3
134.85,1.85,V,65,0,22,6,1,0,0,N,0,1,0
102.97,1.78,V,67,0,0,0,0,0,NA,N,3,4,4
123.9,1.76,V,51,0,7,5,0,6,3,N,0,0,0
66.44,1.73,V,18,10,0,0,1,0,0,N,1,1,0
101.96,1.66,M,53,0,0,6,0,1,0,N,2,3,4
106.93,1.7,M,58,0,0,0,3,10,0,N,3,4,4
100.59,1.72,V,26,0,3,0,0,9,0,N,1,1,1
95.26,1.72,M,26,0,8,0,12,8,0,N,0,1,0
